keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0001,zivan_myfirstbookjewishholidays.jpg,My first book of Jewish holidays,"Zivan, Dafne",2021,HaShem's Gems,"Albany, NY",,,,,,color illustrations;color photographs,30 pages,20 cm,,,,,On board pages.,,,,,Fasts and feasts;Judaism;Orthodox Judaism;Board books;Activity books,Image;StillImage,image/jpeg,eng,item
hk0002,maddali_myfirstcolorsjewishlens.jpg,My first colors through a Jewish lens,"Maddali, Sarah;Levin, Susannah",2021,HaShem's Gems,"Albany, NY",,,,,,color illustrations,8 pages,20 cm,,,,,On board pages.,,,,,Colors;Judaism;Customs and practices;Orthodox Judaism;Board books,Image;StillImage,image/jpeg,eng,item
hk0003,zivan_myfirstnumbersjewishlens.jpg,My first numbers through a Jewish lens,"Zivan, Dafne",2021,HaShem's Gems,"Albany, NY",,,,,,color illustrations;color photographs,24 pages,20 cm,,,,,On board pages.,,,,,Counting;Customs and practices;Orthodox Judaism;Board books,Image;StillImage,image/jpeg,eng,item
hk0004,diamond_hashemlovesme.jpg,Hashem loves me,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,16 cm,Mish and Mush,,,,,,,,,God (Judaism);Love;Jewish families;Judaism;Customs and practices;Fiction,Image;StillImage,image/jpeg,eng,item
hk0005,diamond_letsallrun.jpg,"Let's all run, let's all race, let's all catch the alef bais","Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,16 cm,Mish and Mush,,,,,,,,,Hebrew language;Alphabet;Fiction,Image;StillImage,image/jpeg,eng,item
hk0006,diamond_thankyouhashem.jpg,Thank you Hashem,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,16 cm,Mish and Mush,,,,,,,,,Seasons;Customs and practices;Gratitude;Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0007,diamond_tickticktick.jpg,Tick tick tick : a story about getting ready for Shabbos,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,,Mish and Mush,,,,Originally published in 2007.,,,,,Sabbath;Customs and practices;Jewish families;Fiction,Image;StillImage,image/jpeg,eng,item
hk0008,diamond_whatami.jpg,What am I?,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,16 cm,Mish and Mush,,,,,,,,,Customs and practices;Riddles,Image;StillImage,image/jpeg,eng,item
hk0009,diamond_whenigrowup.jpg,When I grow up,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,16 cm,Mish and Mush,,,,,,,,,Customs and practices;Jewish families;Occupations;Fiction,Image;StillImage,image/jpeg,eng,item
hk0010,placeholder.jpg,Mish and Mush : [Purim],"Diamond, Shani;Niasoff, Nissa;Teleshevsky, Sarah Baila",2014,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,illustrations,3 volumes,17 cm,,,,,,,,[V.1] Who ate the Mishloach Monos? [v.2] What can we put inside the homentashen? [v.3] The day that Didi didn't!,,Purim,Image;StillImage,image/jpeg,eng,item
