objectid,objecttype,title,lc,nli,viaf,wiki,filename,creator,date,publisher,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,display_template
authpub001,publisher,Feldheim Publishers,https://lccn.loc.gov/n2005093094,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub002,publisher,Menucha Classroom Solutions,https://lccn.loc.gov/no2019009233,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub003,publisher,Judaica Press,https://lccn.loc.gov/n95104903,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub004,publisher,Israel Bookshop Publications,https://lccn.loc.gov/no2023028618,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub005,publisher,Artscroll Mesorah Publications,https://lccn.loc.gov/nr2001046604,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub006,publisher,Targum Press,https://lccn.loc.gov/n91117484,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub007,publisher,Merkos L'Inyonei Chinuch,https://lccn.loc.gov/nr91044085,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub008,publisher,Shai Publishing,https://lccn.loc.gov/n2009061287,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
authpub009,publisher,Tfutza Publications,https://lccn.loc.gov/no2022011266,,,,,,,,,,,,,,,,,,,,,,,,,,,Text,text/plain,authority
hk0001,item,My first book of Jewish holidays,,,,,zivan_myfirstbookjewishholidays.jpg,"Zivan, Dafne",2021,HaShem's Gems,"Albany, NY",,,,,,color illustrations;color photographs,30 pages,20 cm,,,,,On board pages.,,,,,Fasts and feasts;Judaism;Orthodox Judaism;Board books;Activity books,Image;StillImage,image/jpeg,item
hk0002,item,My first colors through a Jewish lens,,,,,maddali_myfirstcolorsjewishlens.jpg,"Maddali, Sarah;Levin, Susannah",2021,HaShem's Gems,"Albany, NY",,,,,,color illustrations,8 pages,20 cm,,,,,On board pages.,,,,,Colors;Judaism;Customs and practices;Orthodox Judaism;Board books,Image;StillImage,image/jpeg,item
hk0003,item,My first numbers through a Jewish lens,,,,,zivan_myfirstnumbersjewishlens.jpg,"Zivan, Dafne",2021,HaShem's Gems,"Albany, NY",,,,,,color illustrations;color photographs,24 pages,20 cm,,,,,On board pages.,,,,,Counting;Customs and practices;Orthodox Judaism;Board books,Image;StillImage,image/jpeg,item
hk0004,item,Hashem loves me,,,,,diamond_hashemlovesme.jpg,"Diamond, Shani;Teleshevsky, Sarah Baila;Niasoff, Nissa",2013,Mish and Mush Creations,Australia,,,Feldheim Publishers,"Nanuet, NY",,color illustrations,17 pages,16 cm,Mish and Mush,,,,,,,,,God (Judaism);Love;Jewish families;Judaism;Customs and practices;Fiction,Image;StillImage,image/jpeg,item
